Product/Internal Reference,Product/Name,Product/Barcode,Financial Category,Available Quantity,Quantity,Lot/Serial Number,Location,Lot/Serial Number/Production Date,Lot/Serial Number/Expiration Date,Lot/Serial Number/Removal Date,Lot/Serial Number/Alert Date,Product/Breadfast Barcode
PROD-006742,Harvest Tomato Paste,UNKNOWN_BARCODE,Personal Care,237.0,237.0,LOT-0000006742,KAT/Stock/Zone (F),2024-01-29,2025-12-11,2025-09-26,2025-09-26,UNKNOWN_BREADFAST_BARCODE
PROD-006743,Shanon,UNKNOWN_BARCODE,Commodities,277.0,277.0,LOT-0000006743,KAT/Stock/Zone (A),2025-01-03,2026-09-30,2026-07-11,2026-07-11,BREAD-0000006743
PROD-006744,Shanon,BAR-0000006744,All / ASTS / Furniture,240.0,240.0,LOT-0000006744,KAT/Stock/Zone (F),2023-02-12,2025-03-15,2024-12-07,2024-12-07,UNKNOWN_BREADFAST_BARCODE
PROD-006745,Puvana Natural Water,BAR-0000006745,Coffee & Other Drinks,470.0,470.0,LOT-0000006745,KAT/Stock/Zone (F),2023-07-29,2025-07-05,2025-04-26,2025-04-26,BREAD-0000006745
PROD-006746,Elano Water Carton,BAR-0000006746,All / Consumables / Cons - Operations,191.0,191.0,LOT-0000006746,KAT/Stock/Zone (F),2025-08-23,2027-09-07,2027-06-20,2027-06-20,BREAD-0000006746
PROD-006747,Big Tissue Roll,BAR-0000006747,All / ASTS / Furniture,11.0,11.0,LOT-0000006747,KAT/Stock,2023-01-11,2027-11-10,2027-08-28,2027-08-28,UNKNOWN_BREADFAST_BARCODE
PROD-006748,Rhodes Cheddar Cheese,BAR-0000006748,Personal Care,52.0,52.0,LOT-0000006748,KAT/Stock/Zone (F),2023-08-04,2026-09-16,2026-07-29,2026-07-29,BREAD-0000006748
PROD-006749,Big Tissue Roll,BAR-0000006749,Commodities,54.0,54.0,LOT-0000006749,KAT/Stock/Zone (B),2023-08-13,2025-07-17,2025-02-18,2025-02-18,BREAD-0000006749
PROD-006750,Flash,UNKNOWN_BARCODE,Coffee & Other Drinks,308.0,308.0,LOT-0000006750,KAT/Stock,2024-10-19,2025-10-25,2025-08-21,2025-08-21,UNKNOWN_BREADFAST_BARCODE
PROD-006751,Shanon,BAR-0000006751,All / ASTS / Furniture,20.0,20.0,LOT-0000006751,KAT/Stock/Zone (B),2025-02-11,2029-08-30,2029-05-02,2029-05-02,BREAD-0000006751
PROD-006752,Rhodes Natural Feta Gold,UNKNOWN_BARCODE,All / ASTS / Furniture,18.0,18.0,LOT-0000006752,KAT/Stock/Zone (B),2023-01-16,2024-10-29,2024-07-22,2024-07-22,BREAD-0000006752
PROD-006753,Shanon,BAR-0000006753,All / Consumables / Cons - Cleaning,452.0,452.0,LOT-0000006753,KAT/Stock/Zone (B),2025-10-29,2029-04-08,2028-10-28,2028-10-28,BREAD-0000006753
PROD-006754,Shanon,BAR-0000006754,Centralized Fresh,343.0,343.0,LOT-0000006754,KAT/Stock/Zone (B),2024-05-28,2027-09-21,2027-03-28,2027-03-28,BREAD-0000006754
PROD-006755,Argento Clear Offer,BAR-0000006755,Coffee & Other Drinks,349.0,349.0,LOT-0000006755,KAT/Stock/Zone (B),2023-10-20,2026-10-05,2026-05-24,2026-05-24,BREAD-0000006755
PROD-006756,Harvest Tomato Paste,UNKNOWN_BARCODE,Water,455.0,455.0,LOT-0000006756,KAT/Stock/Zone (A),2023-02-27,2024-08-28,2024-04-23,2024-04-23,BREAD-0000006756
PROD-006757,Rhodes Cheddar Cheese,BAR-0000006757,Coffee & Other Drinks,321.0,321.0,LOT-0000006757,KAT/Stock,2025-09-11,2028-04-02,2027-11-22,2027-11-22,BREAD-0000006757
PROD-006758,A4 Paper,UNKNOWN_BARCODE,Centralized Fresh,314.0,314.0,LOT-0000006758,KAT/Stock/Zone (B),2025-04-30,2028-01-12,2027-08-12,2027-08-12,UNKNOWN_BREADFAST_BARCODE
PROD-006759,A4 Paper,UNKNOWN_BARCODE,Centralized Fresh,432.0,432.0,LOT-0000006759,KAT/Stock/Zone (A),2024-10-09,2026-04-12,2025-12-30,2025-12-30,BREAD-0000006759
PROD-006760,Harvest Tomato Paste,BAR-0000006760,All / Consumables / Cons - Operations,481.0,481.0,LOT-0000006760,KAT/Stock/Zone (A),2024-04-05,2027-01-07,2026-10-06,2026-10-06,BREAD-0000006760
PROD-006761,Shanon,BAR-0000006761,All / Consumables / Cons - Cleaning,58.0,58.0,LOT-0000006761,KAT/Stock/Zone (B),2025-08-26,2027-12-18,2027-10-05,2027-10-05,BREAD-0000006761
PROD-006762,A4 Paper,UNKNOWN_BARCODE,All / Consumables / Cons - Cleaning,150.0,150.0,LOT-0000006762,KAT/Stock/Zone (F),2024-11-22,2028-03-18,2028-01-11,2028-01-11,BREAD-0000006762
PROD-006763,Elano Water Carton,BAR-0000006763,All / ASTS / Furniture,258.0,258.0,LOT-0000006763,KAT/Stock/Zone (B),2023-10-17,2026-07-07,2026-02-18,2026-02-18,UNKNOWN_BREADFAST_BARCODE
PROD-006764,Rhodes Cheddar Cheese,BAR-0000006764,Centralized Fresh,439.0,439.0,LOT-0000006764,KAT/Stock/Zone (A),2025-07-08,2030-01-08,2029-08-31,2029-08-31,BREAD-0000006764
PROD-006765,A4 Paper,BAR-0000006765,Coffee & Other Drinks,371.0,371.0,LOT-0000006765,KAT/Stock/Zone (B),2023-09-06,2026-01-21,2025-09-29,2025-09-29,BREAD-0000006765
PROD-006766,Harvest Tomato Paste,UNKNOWN_BARCODE,Water,57.0,57.0,LOT-0000006766,KAT/Stock/Zone (A),2025-01-02,2026-04-21,2026-01-09,2026-01-09,BREAD-0000006766
PROD-006767,Flash,BAR-0000006767,All / Consumables / Cons - Operations,215.0,215.0,LOT-0000006767,KAT/Stock/Zone (B),2024-06-08,2028-08-22,2028-07-21,2028-07-21,BREAD-0000006767
PROD-006768,A4 Paper,UNKNOWN_BARCODE,Coffee & Other Drinks,61.0,61.0,LOT-0000006768,KAT/Stock/Zone (A),2024-12-05,2027-12-06,2027-09-09,2027-09-09,BREAD-0000006768
PROD-006769,Rhodes Cheddar Cheese,BAR-0000006769,All / Consumables / Cons - Cleaning,145.0,145.0,LOT-0000006769,KAT/Stock/Zone (B),2025-02-10,2026-09-11,2026-05-05,2026-05-05,BREAD-0000006769
PROD-006770,Puvana Natural Water,BAR-0000006770,All / ASTS / Furniture,444.0,444.0,LOT-0000006770,KAT/Stock/Zone (F),2024-07-29,2028-04-19,2028-02-20,2028-02-20,BREAD-0000006770
PROD-006771,Puvana Natural Water,BAR-0000006771,Water,381.0,381.0,LOT-0000006771,KAT/Stock/Zone (F),2025-04-21,2027-11-09,2027-09-25,2027-09-25,BREAD-0000006771
PROD-006772,Elano Water Carton,BAR-0000006772,Centralized Fresh,238.0,238.0,LOT-0000006772,KAT/Stock/Zone (A),2025-01-13,2028-10-09,2028-08-12,2028-08-12,BREAD-0000006772
PROD-006773,Big Tissue Roll,UNKNOWN_BARCODE,Commodities,292.0,292.0,LOT-0000006773,KAT/Stock/Zone (F),2023-06-16,2027-01-31,2026-09-24,2026-09-24,BREAD-0000006773
PROD-006774,Big Tissue Roll,UNKNOWN_BARCODE,Commodities,181.0,181.0,LOT-0000006774,KAT/Stock/Zone (F),2023-09-06,2026-12-07,2026-10-15,2026-10-15,BREAD-0000006774
PROD-006775,A4 Paper,UNKNOWN_BARCODE,Coffee & Other Drinks,368.0,368.0,LOT-0000006775,KAT/Stock,2023-12-06,2028-08-23,2028-07-18,2028-07-18,BREAD-0000006775
PROD-006776,Rhodes Natural Feta Gold,UNKNOWN_BARCODE,Water,94.0,94.0,LOT-0000006776,KAT/Stock/Zone (B),2023-04-19,2028-04-09,2027-12-01,2027-12-01,UNKNOWN_BREADFAST_BARCODE
PROD-006777,Flash,BAR-0000006777,Commodities,77.0,77.0,LOT-0000006777,KAT/Stock/Zone (B),2025-04-09,2028-08-02,2028-05-19,2028-05-19,UNKNOWN_BREADFAST_BARCODE
PROD-006778,Harvest Tomato Paste,BAR-0000006778,All / Consumables / Cons - Cleaning,448.0,448.0,LOT-0000006778,KAT/Stock/Zone (F),2024-02-21,2028-03-15,2027-12-29,2027-12-29,BREAD-0000006778
PROD-006779,Flash,BAR-0000006779,Commodities,141.0,141.0,LOT-0000006779,KAT/Stock/Zone (F),2024-03-01,2026-12-18,2026-08-09,2026-08-09,BREAD-0000006779
PROD-006780,Puvana Natural Water,UNKNOWN_BARCODE,All / Consumables / Cons - Operations,104.0,104.0,LOT-0000006780,KAT/Stock/Zone (A),2025-12-03,2029-11-08,2029-08-28,2029-08-28,BREAD-0000006780
PROD-006781,A4 Paper,BAR-0000006781,Coffee & Other Drinks,260.0,260.0,LOT-0000006781,KAT/Stock/Zone (B),2023-12-08,2028-06-30,2028-04-07,2028-04-07,BREAD-0000006781
PROD-006782,Rhodes Cheddar Cheese,UNKNOWN_BARCODE,Commodities,94.0,94.0,LOT-0000006782,KAT/Stock,2025-09-29,2029-05-31,2029-02-26,2029-02-26,BREAD-0000006782
PROD-006783,Harvest Tomato Paste,BAR-0000006783,Centralized Fresh,222.0,222.0,LOT-0000006783,KAT/Stock,2023-07-20,2027-11-27,2027-09-18,2027-09-18,BREAD-0000006783
PROD-006784,Flash,UNKNOWN_BARCODE,All / Consumables / Cons - Operations,477.0,477.0,LOT-0000006784,KAT/Stock/Zone (F),2024-01-13,2025-07-29,2025-05-27,2025-05-27,BREAD-0000006784
PROD-006785,Rhodes Cheddar Cheese,BAR-0000006785,Personal Care,483.0,483.0,LOT-0000006785,KAT/Stock/Zone (A),2024-04-02,2026-08-22,2026-05-26,2026-05-26,BREAD-0000006785
PROD-006786,Harvest Tomato Paste,BAR-0000006786,Commodities,189.0,189.0,LOT-0000006786,KAT/Stock/Zone (A),2025-09-17,2027-08-11,2027-05-11,2027-05-11,BREAD-0000006786
PROD-006787,Flash,UNKNOWN_BARCODE,Commodities,128.0,128.0,LOT-0000006787,KAT/Stock/Zone (B),2025-06-19,2026-10-20,2026-09-09,2026-09-09,BREAD-0000006787
PROD-006788,Elano Water Carton,UNKNOWN_BARCODE,Water,318.0,318.0,LOT-0000006788,KAT/Stock/Zone (F),2024-09-23,2026-04-10,2026-02-18,2026-02-18,UNKNOWN_BREADFAST_BARCODE
PROD-006789,Puvana Natural Water,BAR-0000006789,Commodities,194.0,194.0,LOT-0000006789,KAT/Stock/Zone (F),2025-11-17,2027-01-30,2026-11-06,2026-11-06,BREAD-0000006789
PROD-006790,Shanon,UNKNOWN_BARCODE,Commodities,19.0,19.0,LOT-0000006790,KAT/Stock/Zone (A),2024-06-23,2025-11-26,2025-10-22,2025-10-22,BREAD-0000006790
PROD-006791,Harvest Tomato Paste,UNKNOWN_BARCODE,Water,298.0,298.0,LOT-0000006791,KAT/Stock,2023-07-14,2027-09-13,2027-07-10,2027-07-10,BREAD-0000006791
PROD-006792,Puvana Natural Water,BAR-0000006792,All / ASTS / Furniture,239.0,239.0,LOT-0000006792,KAT/Stock,2025-02-10,2026-12-18,2026-07-16,2026-07-16,BREAD-0000006792
PROD-006793,Argento Clear Offer,BAR-0000006793,Centralized Fresh,234.0,234.0,LOT-0000006793,KAT/Stock/Zone (B),2025-05-21,2029-07-07,2029-04-10,2029-04-10,BREAD-0000006793
PROD-006794,Rhodes Natural Feta Gold,BAR-0000006794,Water,84.0,84.0,LOT-0000006794,KAT/Stock/Zone (F),2024-11-19,2028-09-19,2028-06-14,2028-06-14,BREAD-0000006794
PROD-006795,A4 Paper,BAR-0000006795,All / Consumables / Cons - Cleaning,93.0,93.0,LOT-0000006795,KAT/Stock/Zone (F),2023-05-08,2027-06-24,2027-04-04,2027-04-04,BREAD-0000006795
PROD-006796,Argento Clear Offer,UNKNOWN_BARCODE,Personal Care,41.0,41.0,LOT-0000006796,KAT/Stock,2023-04-16,2024-07-06,2024-02-08,2024-02-08,BREAD-0000006796
PROD-006797,Rhodes Cheddar Cheese,BAR-0000006797,All / Consumables / Cons - Cleaning,363.0,363.0,LOT-0000006797,KAT/Stock/Zone (F),2023-12-18,2026-11-09,2026-07-26,2026-07-26,BREAD-0000006797
PROD-006798,Harvest Tomato Paste,BAR-0000006798,All / Consumables / Cons - Operations,349.0,349.0,LOT-0000006798,KAT/Stock/Zone (F),2025-04-13,2029-09-15,2029-05-29,2029-05-29,BREAD-0000006798
PROD-006799,A4 Paper,BAR-0000006799,Personal Care,452.0,452.0,LOT-0000006799,KAT/Stock/Zone (A),2023-11-10,2027-08-23,2027-04-09,2027-04-09,UNKNOWN_BREADFAST_BARCODE
PROD-006800,A4 Paper,BAR-0000006800,Commodities,73.0,73.0,LOT-0000006800,KAT/Stock/Zone (B),2025-09-27,2027-03-31,2026-12-02,2026-12-02,BREAD-0000006800
PROD-006801,Argento Clear Offer,BAR-0000006801,Personal Care,471.0,471.0,LOT-0000006801,KAT/Stock/Zone (B),2024-01-19,2028-06-05,2028-01-31,2028-01-31,UNKNOWN_BREADFAST_BARCODE
PROD-006802,Argento Clear Offer,BAR-0000006802,All / Consumables / Cons - Cleaning,364.0,364.0,LOT-0000006802,KAT/Stock/Zone (B),2025-09-28,2026-11-09,2026-08-04,2026-08-04,BREAD-0000006802
PROD-006803,Shanon,BAR-0000006803,Commodities,114.0,114.0,LOT-0000006803,KAT/Stock/Zone (A),2023-01-17,2024-03-29,2023-12-18,2023-12-18,BREAD-0000006803
PROD-006804,Flash,BAR-0000006804,Water,422.0,422.0,LOT-0000006804,KAT/Stock/Zone (B),2025-12-25,2029-11-01,2029-08-23,2029-08-23,BREAD-0000006804
PROD-006805,Harvest Tomato Paste,UNKNOWN_BARCODE,All / Consumables / Cons - Cleaning,189.0,189.0,LOT-0000006805,KAT/Stock/Zone (B),2025-06-04,2026-11-15,2026-06-06,2026-06-06,BREAD-0000006805
PROD-006806,Puvana Natural Water,BAR-0000006806,Centralized Fresh,431.0,431.0,LOT-0000006806,KAT/Stock,2023-03-12,2024-12-02,2024-07-10,2024-07-10,UNKNOWN_BREADFAST_BARCODE
PROD-006807,Big Tissue Roll,BAR-0000006807,All / Consumables / Cons - Operations,124.0,124.0,LOT-0000006807,KAT/Stock,2025-12-20,2030-02-13,2029-10-14,2029-10-14,BREAD-0000006807
PROD-006808,Harvest Tomato Paste,BAR-0000006808,Coffee & Other Drinks,5.0,5.0,LOT-0000006808,KAT/Stock/Zone (B),2024-03-19,2027-08-02,2027-03-24,2027-03-24,BREAD-0000006808
PROD-006809,Harvest Tomato Paste,BAR-0000006809,Personal Care,457.0,457.0,LOT-0000006809,KAT/Stock/Zone (A),2025-08-26,2030-04-11,2029-11-29,2029-11-29,BREAD-0000006809
PROD-006810,Harvest Tomato Paste,BAR-0000006810,Commodities,378.0,378.0,LOT-0000006810,KAT/Stock/Zone (A),2024-04-27,2028-12-28,2028-08-29,2028-08-29,BREAD-0000006810
PROD-006811,A4 Paper,UNKNOWN_BARCODE,Centralized Fresh,41.0,41.0,LOT-0000006811,KAT/Stock/Zone (A),2024-05-31,2027-03-15,2027-01-26,2027-01-26,BREAD-0000006811
PROD-006812,Rhodes Cheddar Cheese,BAR-0000006812,Water,57.0,57.0,LOT-0000006812,KAT/Stock/Zone (F),2023-11-13,2024-12-15,2024-07-21,2024-07-21,UNKNOWN_BREADFAST_BARCODE
PROD-006813,A4 Paper,UNKNOWN_BARCODE,Water,426.0,426.0,LOT-0000006813,KAT/Stock/Zone (F),2025-11-10,2027-02-15,2026-11-13,2026-11-13,BREAD-0000006813
PROD-006814,Rhodes Cheddar Cheese,BAR-0000006814,All / Consumables / Cons - Cleaning,9.0,9.0,LOT-0000006814,KAT/Stock/Zone (A),2024-11-28,2029-04-14,2029-01-06,2029-01-06,UNKNOWN_BREADFAST_BARCODE
PROD-006815,Argento Clear Offer,UNKNOWN_BARCODE,All / ASTS / Furniture,88.0,88.0,LOT-0000006815,KAT/Stock,2024-12-21,2026-11-01,2026-08-11,2026-08-11,BREAD-0000006815
PROD-006816,Big Tissue Roll,UNKNOWN_BARCODE,Personal Care,333.0,333.0,LOT-0000006816,KAT/Stock/Zone (F),2023-08-19,2028-04-22,2027-10-29,2027-10-29,BREAD-0000006816
PROD-006817,A4 Paper,BAR-0000006817,Personal Care,110.0,110.0,LOT-0000006817,KAT/Stock/Zone (A),2025-05-13,2028-04-21,2028-01-17,2028-01-17,BREAD-0000006817
PROD-006818,Rhodes Cheddar Cheese,BAR-0000006818,All / ASTS / Furniture,38.0,38.0,LOT-0000006818,KAT/Stock/Zone (F),2024-07-16,2029-07-13,2029-04-09,2029-04-09,BREAD-0000006818
PROD-006819,A4 Paper,BAR-0000006819,Water,396.0,396.0,LOT-0000006819,KAT/Stock/Zone (F),2025-02-07,2029-08-09,2029-06-23,2029-06-23,BREAD-0000006819
PROD-006820,Rhodes Natural Feta Gold,BAR-0000006820,Water,458.0,458.0,LOT-0000006820,KAT/Stock/Zone (F),2025-03-18,2027-04-26,2027-01-07,2027-01-07,BREAD-0000006820
PROD-006821,A4 Paper,UNKNOWN_BARCODE,Coffee & Other Drinks,166.0,166.0,LOT-0000006821,KAT/Stock/Zone (F),2024-06-13,2027-02-18,2026-12-12,2026-12-12,BREAD-0000006821
PROD-006822,Big Tissue Roll,BAR-0000006822,Coffee & Other Drinks,10.0,10.0,LOT-0000006822,KAT/Stock/Zone (A),2023-10-17,2027-03-16,2026-10-11,2026-10-11,UNKNOWN_BREADFAST_BARCODE
PROD-006823,Big Tissue Roll,BAR-0000006823,Personal Care,109.0,109.0,LOT-0000006823,KAT/Stock/Zone (F),2023-04-10,2027-08-04,2027-05-16,2027-05-16,BREAD-0000006823
PROD-006824,Rhodes Cheddar Cheese,UNKNOWN_BARCODE,Coffee & Other Drinks,496.0,496.0,LOT-0000006824,KAT/Stock/Zone (B),2023-05-29,2026-09-08,2026-04-05,2026-04-05,BREAD-0000006824
PROD-006825,Rhodes Cheddar Cheese,UNKNOWN_BARCODE,Coffee & Other Drinks,15.0,15.0,LOT-0000006825,KAT/Stock/Zone (A),2024-01-30,2027-06-02,2027-01-26,2027-01-26,BREAD-0000006825
PROD-006826,Argento Clear Offer,BAR-0000006826,Commodities,32.0,32.0,LOT-0000006826,KAT/Stock/Zone (A),2024-01-11,2028-11-21,2028-05-31,2028-05-31,BREAD-0000006826
PROD-006827,Big Tissue Roll,UNKNOWN_BARCODE,All / Consumables / Cons - Operations,232.0,232.0,LOT-0000006827,KAT/Stock/Zone (A),2023-04-12,2027-06-21,2027-03-06,2027-03-06,BREAD-0000006827
PROD-006828,Big Tissue Roll,BAR-0000006828,Personal Care,488.0,488.0,LOT-0000006828,KAT/Stock/Zone (F),2025-02-20,2029-07-19,2029-05-03,2029-05-03,BREAD-0000006828
PROD-006829,Shanon,BAR-0000006829,Water,187.0,187.0,LOT-0000006829,KAT/Stock/Zone (A),2023-04-02,2025-06-14,2025-02-23,2025-02-23,BREAD-0000006829
PROD-006830,Harvest Tomato Paste,BAR-0000006830,Commodities,223.0,223.0,LOT-0000006830,KAT/Stock,2024-02-15,2026-07-30,2026-02-03,2026-02-03,BREAD-0000006830
PROD-006831,Elano Water Carton,UNKNOWN_BARCODE,Water,58.0,58.0,LOT-0000006831,KAT/Stock/Zone (B),2024-02-10,2028-09-04,2028-07-04,2028-07-04,BREAD-0000006831
PROD-006832,A4 Paper,BAR-0000006832,Coffee & Other Drinks,457.0,457.0,LOT-0000006832,KAT/Stock,2023-01-21,2026-03-07,2025-11-17,2025-11-17,BREAD-0000006832
PROD-006833,Flash,BAR-0000006833,All / Consumables / Cons - Operations,50.0,50.0,LOT-0000006833,KAT/Stock/Zone (B),2024-09-23,2029-03-17,2028-11-09,2028-11-09,BREAD-0000006833
PROD-006834,Argento Clear Offer,BAR-0000006834,Coffee & Other Drinks,270.0,270.0,LOT-0000006834,KAT/Stock/Zone (B),2023-01-19,2024-05-13,2024-04-12,2024-04-12,BREAD-0000006834
PROD-006835,Harvest Tomato Paste,BAR-0000006835,Coffee & Other Drinks,463.0,463.0,LOT-0000006835,KAT/Stock/Zone (F),2023-06-02,2025-07-10,2025-03-27,2025-03-27,BREAD-0000006835
PROD-006836,Elano Water Carton,BAR-0000006836,Centralized Fresh,42.0,42.0,LOT-0000006836,KAT/Stock/Zone (B),2023-10-28,2028-04-27,2027-12-30,2027-12-30,UNKNOWN_BREADFAST_BARCODE
PROD-006837,Shanon,UNKNOWN_BARCODE,Centralized Fresh,26.0,26.0,LOT-0000006837,KAT/Stock/Zone (B),2024-02-17,2025-12-09,2025-07-07,2025-07-07,BREAD-0000006837
PROD-006838,Flash,BAR-0000006838,All / Consumables / Cons - Operations,55.0,55.0,LOT-0000006838,KAT/Stock,2023-07-21,2027-01-06,2026-11-17,2026-11-17,BREAD-0000006838
PROD-006839,Rhodes Cheddar Cheese,BAR-0000006839,All / Consumables / Cons - Operations,120.0,120.0,LOT-0000006839,KAT/Stock/Zone (B),2023-05-19,2025-11-26,2025-10-23,2025-10-23,BREAD-0000006839
PROD-006840,Big Tissue Roll,UNKNOWN_BARCODE,Centralized Fresh,112.0,112.0,LOT-0000006840,KAT/Stock/Zone (A),2023-01-24,2024-12-22,2024-10-26,2024-10-26,BREAD-0000006840
PROD-006841,Rhodes Natural Feta Gold,UNKNOWN_BARCODE,Centralized Fresh,315.0,315.0,LOT-0000006841,KAT/Stock/Zone (A),2023-01-12,2027-01-10,2026-09-16,2026-09-16,BREAD-0000006841
PROD-006842,Argento Clear Offer,BAR-0000006842,Centralized Fresh,114.0,114.0,LOT-0000006842,KAT/Stock/Zone (B),2023-05-15,2027-01-04,2026-10-19,2026-10-19,BREAD-0000006842
PROD-006843,Puvana Natural Water,BAR-0000006843,Centralized Fresh,108.0,108.0,LOT-0000006843,KAT/Stock/Zone (A),2025-07-24,2026-09-20,2026-05-18,2026-05-18,BREAD-0000006843
PROD-006844,Big Tissue Roll,UNKNOWN_BARCODE,Personal Care,479.0,479.0,LOT-0000006844,KAT/Stock/Zone (F),2023-03-22,2026-03-06,2025-10-29,2025-10-29,BREAD-0000006844
PROD-006845,Rhodes Natural Feta Gold,UNKNOWN_BARCODE,Personal Care,453.0,453.0,LOT-0000006845,KAT/Stock/Zone (A),2025-12-29,2029-09-29,2029-06-22,2029-06-22,BREAD-0000006845
PROD-006846,Elano Water Carton,BAR-0000006846,Coffee & Other Drinks,174.0,174.0,LOT-0000006846,KAT/Stock/Zone (F),2024-08-13,2028-07-22,2028-04-01,2028-04-01,BREAD-0000006846
PROD-006847,Rhodes Cheddar Cheese,BAR-0000006847,All / Consumables / Cons - Cleaning,111.0,111.0,LOT-0000006847,KAT/Stock/Zone (B),2025-09-18,2026-10-03,2026-08-29,2026-08-29,BREAD-0000006847
PROD-006848,Flash,BAR-0000006848,Coffee & Other Drinks,99.0,99.0,LOT-0000006848,KAT/Stock/Zone (F),2024-12-11,2026-01-30,2025-08-12,2025-08-12,BREAD-0000006848
PROD-006849,Elano Water Carton,BAR-0000006849,All / Consumables / Cons - Operations,7.0,7.0,LOT-0000006849,KAT/Stock/Zone (F),2025-03-07,2029-05-01,2028-12-04,2028-12-04,BREAD-0000006849
PROD-006850,Big Tissue Roll,BAR-0000006850,All / ASTS / Furniture,446.0,446.0,LOT-0000006850,KAT/Stock/Zone (B),2024-12-31,2029-04-07,2028-11-04,2028-11-04,BREAD-0000006850
PROD-006851,Big Tissue Roll,BAR-0000006851,All / Consumables / Cons - Cleaning,472.0,472.0,LOT-0000006851,KAT/Stock/Zone (B),2023-10-04,2027-06-18,2027-03-14,2027-03-14,BREAD-0000006851
PROD-006852,Flash,BAR-0000006852,All / ASTS / Furniture,134.0,134.0,LOT-0000006852,KAT/Stock/Zone (F),2023-02-18,2027-06-05,2026-12-19,2026-12-19,UNKNOWN_BREADFAST_BARCODE
PROD-006853,Puvana Natural Water,UNKNOWN_BARCODE,All / ASTS / Furniture,250.0,250.0,LOT-0000006853,KAT/Stock,2024-09-01,2027-09-08,2027-07-17,2027-07-17,BREAD-0000006853
PROD-006854,Rhodes Natural Feta Gold,BAR-0000006854,Water,336.0,336.0,LOT-0000006854,KAT/Stock/Zone (B),2023-10-20,2027-04-12,2026-11-25,2026-11-25,BREAD-0000006854
PROD-006855,Elano Water Carton,BAR-0000006855,Commodities,239.0,239.0,LOT-0000006855,KAT/Stock/Zone (B),2025-11-10,2027-10-03,2027-06-01,2027-06-01,UNKNOWN_BREADFAST_BARCODE
PROD-006856,Rhodes Cheddar Cheese,UNKNOWN_BARCODE,All / Consumables / Cons - Operations,221.0,221.0,LOT-0000006856,KAT/Stock,2024-04-16,2027-11-03,2027-09-06,2027-09-06,BREAD-0000006856
PROD-006857,Big Tissue Roll,BAR-0000006857,Personal Care,385.0,385.0,LOT-0000006857,KAT/Stock/Zone (A),2023-08-18,2025-06-13,2025-05-13,2025-05-13,BREAD-0000006857
PROD-006858,Elano Water Carton,BAR-0000006858,All / Consumables / Cons - Cleaning,144.0,144.0,LOT-0000006858,KAT/Stock,2025-04-17,2029-10-12,2029-08-14,2029-08-14,BREAD-0000006858
PROD-006859,Puvana Natural Water,UNKNOWN_BARCODE,Coffee & Other Drinks,376.0,376.0,LOT-0000006859,KAT/Stock/Zone (A),2023-12-23,2026-05-23,2026-01-03,2026-01-03,BREAD-0000006859
PROD-006860,Elano Water Carton,BAR-0000006860,All / Consumables / Cons - Operations,3.0,3.0,LOT-0000006860,KAT/Stock,2024-06-24,2026-03-12,2025-11-29,2025-11-29,BREAD-0000006860
PROD-006861,Flash,UNKNOWN_BARCODE,Centralized Fresh,281.0,281.0,LOT-0000006861,KAT/Stock/Zone (F),2025-04-06,2026-07-05,2026-03-22,2026-03-22,BREAD-0000006861
PROD-006862,Rhodes Cheddar Cheese,BAR-0000006862,All / Consumables / Cons - Operations,333.0,333.0,LOT-0000006862,KAT/Stock/Zone (B),2025-07-24,2027-02-02,2026-09-08,2026-09-08,BREAD-0000006862
PROD-006863,Shanon,BAR-0000006863,All / ASTS / Furniture,327.0,327.0,LOT-0000006863,KAT/Stock,2025-11-10,2030-07-24,2030-06-06,2030-06-06,UNKNOWN_BREADFAST_BARCODE
PROD-006864,Flash,UNKNOWN_BARCODE,Personal Care,196.0,196.0,LOT-0000006864,KAT/Stock/Zone (B),2025-03-24,2029-03-15,2028-12-22,2028-12-22,BREAD-0000006864
PROD-006865,Elano Water Carton,BAR-0000006865,Centralized Fresh,388.0,388.0,LOT-0000006865,KAT/Stock/Zone (A),2024-10-06,2029-05-15,2028-12-17,2028-12-17,BREAD-0000006865
PROD-006866,Shanon,UNKNOWN_BARCODE,All / Consumables / Cons - Operations,127.0,127.0,LOT-0000006866,KAT/Stock/Zone (F),2024-06-10,2026-01-21,2025-09-19,2025-09-19,UNKNOWN_BREADFAST_BARCODE
PROD-006867,Big Tissue Roll,BAR-0000006867,All / Consumables / Cons - Operations,260.0,260.0,LOT-0000006867,KAT/Stock/Zone (B),2025-10-18,2028-01-05,2027-11-04,2027-11-04,BREAD-0000006867
PROD-006868,Shanon,BAR-0000006868,Personal Care,90.0,90.0,LOT-0000006868,KAT/Stock,2024-09-14,2026-08-13,2026-05-10,2026-05-10,BREAD-0000006868
PROD-006869,Puvana Natural Water,UNKNOWN_BARCODE,All / ASTS / Furniture,324.0,324.0,LOT-0000006869,KAT/Stock,2025-04-30,2029-04-20,2028-11-03,2028-11-03,BREAD-0000006869
PROD-006870,A4 Paper,BAR-0000006870,Coffee & Other Drinks,258.0,258.0,LOT-0000006870,KAT/Stock/Zone (F),2024-02-28,2026-07-08,2026-03-11,2026-03-11,BREAD-0000006870
